"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"483.xalancbmk/XalanBitmap.ii",2475278,65920513,827121,1658574,57783211,0,0,203656332,264068205,3986,62.498156,"O2"
"483.xalancbmk/XalanCAPI.ii",10682240,233066685,3434521,4809404,187986897,0,1,668761214,803980586,10448,197.051648,"O2"
"483.xalancbmk/XalanCDataSection.ii",581386,16829000,304183,403157,12640703,0,0,40742276,36373620,1430,14.99318,"O2"
"483.xalancbmk/XalanCharacterData.ii",520585,15786108,315828,392505,12636409,0,0,40743702,41994960,1374,13.881662,"O2"
"483.xalancbmk/XalanComment.ii",549492,16263096,316157,395652,12766152,0,0,40739764,40642037,1401,14.176194,"O2"
"483.xalancbmk/XalanCompiledStylesheetDefault.ii",24748707,478285040,8747895,7825276,399688482,0,0,1439092464,1773846731,28326,429.888874,"O2"
"483.xalancbmk/XalanDOMException.ii",411486,13522202,483766,308028,12265448,0,0,40742192,42470882,1329,12.041651,"O2"
"483.xalancbmk/XalanDOMImplementation.ii",423375,13798089,,310048,12504448,0,0,13594566,43456484,1338,11.840834,"O2"
"483.xalancbmk/XalanDOMInit.ii",331645,12343287,,246681,11251901,0,0,13597314,44035564,1287,10.18643,"O2"
"483.xalancbmk/XalanDOMString.ii",18317575,352735166,5537411,13231372,288565077,0,0,1153966233,1285680803,7643,341.255033,"O2"
"483.xalancbmk/XalanDOMStringAllocator.ii",9446752,201853960,2813911,6278550,162150067,0,0,633254470,714105316,6653,186.576744,"O2"
"483.xalancbmk/XalanDOMStringCache.ii",6500892,149084242,2064771,4023714,118863526,0,0,468346450,550155680,6601,137.989449,"O2"
"483.xalancbmk/XalanDOMStringHashTable.ii",7380308,171298940,2434662,5004999,132586098,0,0,532881130,610729837,6536,157.021783,"O2"
"483.xalancbmk/XalanDOMStringPool.ii",5827989,138682801,2073361,3732586,112984227,0,0,439921631,512792545,6483,129.61724,"O2"
"483.xalancbmk/XalanDecimalFormatSymbols.ii",4398385,114792725,1535461,2687198,88103927,0,0,325843882,392121326,5495,99.797673,"O2"
"483.xalancbmk/XalanDefaultDocumentBuilder.ii",7801794,178524409,2331170,3144791,150484566,0,0,488754121,668157559,10486,151.902926,"O2"
"483.xalancbmk/XalanDefaultParsedSource.ii",10200834,229593344,3352858,4815147,186417505,0,0,670357469,840876213,11300,197.512826,"O2"
