"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"403.gcc/partition.i",571425,220776,396510,20469989,1,0,85520802,102934941,1577,47209492,25.187111,"O0"
"403.gcc/predict.i",1677659,654087,1295336,53829311,1,0,233388552,268619728,2644,127240907,66.143428,"O0"
"403.gcc/prefix.i",526538,245919,362532,22205112,1,0,95732928,106560677,1655,55876769,27.587948,"O0"
"403.gcc/print-rtl.i",887036,274040,674485,30207792,1,0,128949934,147936228,2001,76810890,38.381389,"O0"
"403.gcc/print-tree.i",1672017,625954,935964,44472551,1,0,197303118,224955310,2443,111088740,54.473962,"O0"
"403.gcc/profile.i",1953943,736728,1535870,60085126,1,0,255101975,264939008,2830,128338929,72.090462,"O0"
"403.gcc/real.i",3348835,1431420,2468378,91497488,1,0,403270825,433091966,3610,216313906,108.319131,"O0"
"403.gcc/recog.i",3969901,1518518,2823725,105894190,1,0,444458713,513634277,3740,237159280,122.829672,"O0"
"403.gcc/reg-stack.i",3419409,1300345,2223638,87994730,1,0,391465230,438991154,3469,213895751,107.827571,"O0"
"403.gcc/regclass.i",3111674,1089937,2053536,87400250,1,0,354655711,419069513,3216,181234796,98.447573,"O0"
"403.gcc/regmove.i",3220671,1185297,2106439,88316612,1,0,353772008,410909814,3295,177418284,98.068213,"O0"
"403.gcc/regrename.i",3129951,1160598,2002137,86643802,1,0,347810137,429768475,3323,174010501,96.201933,"O0"
"403.gcc/reload.i",8482449,3156403,4861346,218916285,1,0,866554928,1065362949,5973,436701771,232.169009,"O0"
"403.gcc/reload1.i",9993361,3717537,6381414,257464990,1,0,1068321827,1257588955,6745,551873438,279.665147,"O0"
"403.gcc/reorg.i",776188,194120,518951,25227504,1,0,113448673,125879656,1790,74714469,34.833986,"O0"
"403.gcc/resource.i",1879233,683430,1363317,56180861,1,0,232209773,275411327,2608,125168677,67.036223,"O0"
"403.gcc/rtl-error.i",761864,200908,678780,27890378,1,0,112867173,135427975,1871,71643330,35.258344,"O0"
"403.gcc/rtl.i",1073609,333339,850226,36543393,1,0,141684483,159740510,2033,72087505,43.349811,"O0"
"403.gcc/rtlanal.i",3813995,1437352,2732618,97664895,1,0,429089397,468104695,3451,232714907,114.941141,"O0"
"403.gcc/safe-ctype.i",397099,152310,250511,11950636,1,0,37791011,55899001,1260,14414838,12.58942,"O0"
"403.gcc/sbitmap.i",1309883,472815,1053670,33860633,1,0,169099941,146938438,2180,94782359,47.809238,"O0"
"403.gcc/sched-deps.i",2419018,898513,1744614,62163460,1,0,286795599,328611131,2839,153577828,78.324581,"O0"
"403.gcc/sched-ebb.i",1051950,345741,798659,32347386,1,0,142800456,151015293,2047,77273981,41.629823,"O0"
"403.gcc/sched-rgn.i",3285022,1216935,2286663,88218229,1,0,371511235,410352572,3308,192711788,101.064995,"O0"
"403.gcc/sched-vis.i",1522424,548869,1067006,47266223,1,0,208704648,221944460,2352,119378443,58.618349,"O0"
"403.gcc/sdbout.i",382998,106864,259000,12808030,1,0,37713072,52144432,1273,14595954,15.365679,"O0"
"403.gcc/sibcall.i",1566468,552124,1006085,44823570,1,0,203438611,217468006,2435,115255893,56.432859,"O0"
