L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
783987,309945,572606,21466028,1,0,88795342.0,104593974,482.sphinx3/err.i,1655,47608473,25.785687,Ofast
7145535,2549101,7243515,197984385,1,0,829856002.0,927218630,482.sphinx3/feat.i,2573,425970885,217.311108,Ofast
1089683,421149,954824,30652744,1,2,134183520.0,140678297,482.sphinx3/fillpen.i,1919,73686775,40.091238,Ofast
1167177,528397,1158295,28951142,1,0,134136027.0,123278826,482.sphinx3/glist.i,1705,65076481,40.017306,Ofast
2342046,803475,2428093,68737630,1,0,283271509.0,315916161,482.sphinx3/gs.i,2058,149309114,77.455085,Ofast
2318449,859747,2713953,59948745,1,0,272053231.0,266960170,482.sphinx3/hash.i,1819,137795731,75.357531,Ofast
717084,338068,579049,21697510,1,0,91493306.0,102235342,482.sphinx3/heap.i,1679,51984536,26.896942,Ofast
1424537,489614,1395256,50404780,1,0,209962305.0,227963494,482.sphinx3/hmm.i,1972,115779454,59.200847,Ofast
1154748,435890,1159438,31821805,1,1,138408206.0,143667721,482.sphinx3/io.i,1787,72491454,42.824524,Ofast
4009134,1668786,3566757,110625930,1,0,482440348.0,499178602,482.sphinx3/kb.i,2611,249779599,129.415955,Ofast
1502336,571303,1364329,52163896,1,1,208296536.0,236304360,482.sphinx3/kbcore.i,2136,114413517,58.33747,Ofast
4448701,1755222,4692301,123750527,1,0,517870117.0,567562776,482.sphinx3/lextree.i,2343,270848874,138.659977,Ofast
1397298,515852,1327454,39965814,1,0,175435682.0,185120392,482.sphinx3/live.i,2016,100650085,49.399773,Ofast
7679708,3024361,7087964,193492293,1,1,815227046.0,875804029,482.sphinx3/lm.i,2900,426634897,217.731202,Ofast
1681497,632672,1553403,48251215,1,0,205645974.0,220891755,482.sphinx3/lmclass.i,2012,113639883,56.672431,Ofast
1043695,387555,941244,29483515,1,0,126407306.0,138506301,482.sphinx3/logs3.i,1876,72230457,37.720138,Ofast
5060046,2031210,4749164,135558012,1,2,572025805.0,598624177,482.sphinx3/mdef.i,2555,289620175,156.416218,Ofast
1504835,601381,1458719,48399661,1,1,203514664.0,220086550,482.sphinx3/new_fe.i,2003,110625365,55.011619,Ofast
5421282,2037958,6208254,164806583,1,0,671116437.0,764434500,482.sphinx3/new_fe_sp.i,2296,328049574,182.502783,Ofast
890975,260823,694018,28419086,1,0,114879200.0,135433909,482.sphinx3/parse_args_file.i,1894,64286305,33.288387,Ofast
796233,316132,773142,24624993,1,0,111686194.0,119549432,482.sphinx3/profile.i,1764,64025880,31.80968,Ofast
1410325,496266,1270633,43742828,1,0,174801747.0,203072912,482.sphinx3/spec_main_live_pretend.i,2066,91332134,49.303494,Ofast
486143,209973,332843,12065087,1,0,37933092.0,52379163,482.sphinx3/specrand.i,1518,14260694,13.141865,Ofast
693559,253217,604345,20812183,1,0,83535196.0,97940065,482.sphinx3/str2words.i,1688,46099752,24.738708,Ofast
4614844,1674021,4764448,131256312,1,0,529157265.0,598932747,482.sphinx3/subvq.i,2398,265264656,143.405235,Ofast
1901062,660607,1990369,57889707,1,0,230695009.0,266320029,482.sphinx3/tmat.i,2094,120459913,66.615382,Ofast
479989,196720,323088,11994974,1,0,37658852.0,52259928,482.sphinx3/unlimit.i,1522,14227783,13.107199,Ofast
4687077,1696967,4555496,129323051,1,0,528598059.0,593362499,482.sphinx3/utt.i,2538,269367493,142.443983,Ofast
6893851,2718136,7754569,198776548,1,0,828864517.0,954581794,482.sphinx3/vector.i,2582,407023225,219.31458,Ofast
4353726,1605619,4620058,116980967,1,0,507866759.0,541442716,482.sphinx3/vithist.i,2273,267445266,134.705774,Ofast
1523363,528769,1296980,42090962,1,0,181193616.0,209180290,482.sphinx3/wid.i,2029,95271462,51.09892,Ofast
394873,191736,239645,10364746,1,0,22650827.0,47570103,483.xalancbmk/AIXPlatformUtils.ii,1249,14966528,10.643096,Ofast
1309005,499967,1034870,32341155,1,0,169516662.0,129823647,483.xalancbmk/ASCIIRangeFactory.ii,2019,102684332,47.062353,Ofast
6481884,2778809,4969290,156836973,1,0,782627962.0,739980517,483.xalancbmk/AVT.ii,4105,456634549,207.234613,Ofast
505444,207961,339827,12870390,1,0,38245491.0,53387659,483.xalancbmk/AVTPart.ii,1544,13947255,14.127668,Ofast
3248609,1460954,2264084,74587737,1,0,435321554.0,355450516,483.xalancbmk/AVTPartSimple.ii,3236,291162980,119.253652,Ofast
4349891,1995600,2964290,94611805,1,0,579812633.0,447960881,483.xalancbmk/AVTPartXPath.ii,3854,378165286,155.024968,Ofast
15554845,6485706,14029909,359933977,1,0,1732953738.0,1650244540,483.xalancbmk/AbstractDOMParser.ii,4401,991748068,453.52099,Ofast
10013175,4081087,7604981,224547253,1,0,1080005056.0,1016022963,483.xalancbmk/AbstractNumericFacetValidator.ii,4206,639835727,283.45504,Ofast
2264974,1044043,1948540,58990730,1,0,310310442.0,271044635,483.xalancbmk/AbstractNumericValidator.ii,2345,194996442,83.303564,Ofast
9239202,3962786,7828103,212924151,1,0,1045891510.0,1000135368,483.xalancbmk/AbstractStringValidator.ii,3647,610901155,275.909229,Ofast
5560922,2330011,5163622,148632619,1,0,746362726.0,704299843,483.xalancbmk/AllContentModel.ii,3030,436759465,199.613101,Ofast
2095520,932860,1863652,51790318,1,1,286459813.0,242803511,483.xalancbmk/AnySimpleTypeDatatypeValidator.ii,2269,184755118,79.649491,Ofast
2094141,977069,1873344,56155139,1,0,302958644.0,253616501,483.xalancbmk/AnyURIDatatypeValidator.ii,2314,194962827,82.896884,Ofast
4408634,1783998,4279626,107758113,1,0,511511866.0,480928457,483.xalancbmk/AttrImpl.ii,2443,291688579,137.358214,Ofast
1451897,587726,1185250,36909610,1,0,186275074.0,169560096,483.xalancbmk/AttrMapImpl.ii,2008,118204300,52.644534,Ofast
2541298,909703,2179489,56875264,1,0,285761424.0,270422287,483.xalancbmk/AttrNSImpl.ii,2294,168149492,77.381547,Ofast
10640735,4550207,9136350,257151782,1,0,1194622124.0,1173224303,483.xalancbmk/AttributeListImpl.ii,3826,682987131,316.24093,Ofast
10841659,4708681,9017884,245838784,1,0,1199761127.0,1141278903,483.xalancbmk/AttributesImpl.ii,3768,686737485,318.30001,Ofast
1760501,705146,2101346,52072517,1,0,238862157.0,238642132,483.xalancbmk/BMPattern.ii,2027,137608695,65.230243,Ofast
2867304,1127260,2958454,80175465,1,0,371677729.0,354764889,483.xalancbmk/Base64.ii,2223,209269662,101.150765,Ofast
2195245,1086774,1941917,59307270,1,0,313286653.0,265575591,483.xalancbmk/Base64BinaryDatatypeValidator.ii,2293,201053740,84.047747,Ofast
